name,demo_url,city,category,website_status,token,lead_id
La Gazzetta,https://restaurant-ai-bot-two.vercel.app/demo/o_iG-fMMQeoY,Miami,restaurant,,o_iG-fMMQeoY,36
La Moon,https://restaurant-ai-bot-two.vercel.app/demo/RTf2CbcCm4eA,Miami,restaurant,,RTf2CbcCm4eA,37
La Pupusa Loca,https://restaurant-ai-bot-two.vercel.app/demo/ebJU-rKQa3Hd,Houston,restaurant,,ebJU-rKQa3Hd,5
Marufuku Ramen,https://restaurant-ai-bot-two.vercel.app/demo/RPkEJDhkQM2h,,,,RPkEJDhkQM2h,7
Melange Creperie,https://restaurant-ai-bot-two.vercel.app/demo/M0KmfMqIbrEl,Houston,cafe,,M0KmfMqIbrEl,76
Miami Under Ground,https://restaurant-ai-bot-two.vercel.app/demo/aEGN6bcLJZMl,Miami,cafe,,aEGN6bcLJZMl,30
Mister Block Cafe,https://restaurant-ai-bot-two.vercel.app/demo/Gor72nWJNPKk,Miami,cafe,,Gor72nWJNPKk,28
Nando's,https://restaurant-ai-bot-two.vercel.app/demo/JkZc_BgGsS8S,,,,JkZc_BgGsS8S,4
Orno Miami,https://restaurant-ai-bot-two.vercel.app/demo/5B1qhYeXKYRq,Miami,restaurant,,5B1qhYeXKYRq,13
Pavón Coffee Den,https://restaurant-ai-bot-two.vercel.app/demo/3DLzbKSCJjo4,Houston,cafe,,3DLzbKSCJjo4,61
Petit Rouge,https://restaurant-ai-bot-two.vercel.app/demo/wl8ksbgZcabh,Miami,restaurant,,wl8ksbgZcabh,20
Pho I-10,https://restaurant-ai-bot-two.vercel.app/demo/QriQmIUtMOiC,Houston,restaurant,,QriQmIUtMOiC,8
Revolucion Coffee + Juice,https://restaurant-ai-bot-two.vercel.app/demo/1g3-F7WHHY8k,Houston,cafe,,1g3-F7WHHY8k,74
Roland's Soul Food,https://restaurant-ai-bot-two.vercel.app/demo/NfWOw2F4zl2P,Austin,restaurant,,NfWOw2F4zl2P,48
Rustica Hondureña,https://restaurant-ai-bot-two.vercel.app/demo/QzTEkSRkFTpI,Miami,restaurant,,QzTEkSRkFTpI,19
Rustika Cafe & Bakery,https://restaurant-ai-bot-two.vercel.app/demo/sL7EkRvIUOdl,Houston,cafe,,sL7EkRvIUOdl,3
Sam's BBQ,https://restaurant-ai-bot-two.vercel.app/demo/f_5hF9MciXcR,Austin,restaurant,,f_5hF9MciXcR,49
Sharetea,https://restaurant-ai-bot-two.vercel.app/demo/MTg_A-cZltwo,Houston,cafe,,MTg_A-cZltwo,34
Simply Coffie,https://restaurant-ai-bot-two.vercel.app/demo/4EDfTorGlcKr,Houston,cafe,,4EDfTorGlcKr,18
Simply Phở,https://restaurant-ai-bot-two.vercel.app/demo/NlRkan5Pusto,Houston,restaurant,,NlRkan5Pusto,77
Tai Kee,https://restaurant-ai-bot-two.vercel.app/demo/rvR3yxAhb2wW,Houston,restaurant,,rvR3yxAhb2wW,6
Teapresso Bar,https://restaurant-ai-bot-two.vercel.app/demo/TAtKLRfrMwXz,Houston,cafe,,TAtKLRfrMwXz,15
Teriyaki Kitchen,https://restaurant-ai-bot-two.vercel.app/demo/U8j7s0qOvMQU,Houston,restaurant,,U8j7s0qOvMQU,46
Texas Medical Center Commons,https://restaurant-ai-bot-two.vercel.app/demo/zLUSQZWrXGW2,Houston,restaurant,,zLUSQZWrXGW2,11
Texas Mesquite Grill,https://restaurant-ai-bot-two.vercel.app/demo/_4ur89DO-Ptd,,,,_4ur89DO-Ptd,1
Thai Thani,https://restaurant-ai-bot-two.vercel.app/demo/rMWq8aJ_9VnR,Austin,restaurant,,rMWq8aJ_9VnR,52
The Original New Orleans Po-Boy and Gumbo Shop,https://restaurant-ai-bot-two.vercel.app/demo/ZNsitniK_uT3,Austin,restaurant,,ZNsitniK_uT3,51
The Stone House,https://restaurant-ai-bot-two.vercel.app/demo/k7MG6MShdJPl,,,,k7MG6MShdJPl,15
The Stone House,https://restaurant-ai-bot-two.vercel.app/demo/lXn9dLkZq87B,Austin,restaurant,,lXn9dLkZq87B,39
Thien An Sandwiches,https://restaurant-ai-bot-two.vercel.app/demo/EBMKiuowROVS,Houston,restaurant,,EBMKiuowROVS,33
Think Tacos,https://restaurant-ai-bot-two.vercel.app/demo/ZoUXNca36__H,Houston,restaurant,,ZoUXNca36__H,32
Tout Suite,https://restaurant-ai-bot-two.vercel.app/demo/aKkUSX43uFkN,Houston,cafe,,aKkUSX43uFkN,89
Uncle Bean's Coffee,https://restaurant-ai-bot-two.vercel.app/demo/IgWKVOofG3MJ,Houston,cafe,,IgWKVOofG3MJ,47
Veracruz All Natural,https://restaurant-ai-bot-two.vercel.app/demo/T3-070410vPK,,,,T3-070410vPK,13
Veracruz Fonda and Bar,https://restaurant-ai-bot-two.vercel.app/demo/S__Q_1RqQj0f,,,,S__Q_1RqQj0f,9
Via313 Pizzeria,https://restaurant-ai-bot-two.vercel.app/demo/XXswWW1VRlIB,Houston,restaurant,,XXswWW1VRlIB,72
Vietnam Restaurant,https://restaurant-ai-bot-two.vercel.app/demo/sui5P3BEhGQA,Houston,restaurant,,sui5P3BEhGQA,69
Wild,https://restaurant-ai-bot-two.vercel.app/demo/8MwFoJpVXhCo,Houston,cafe,,8MwFoJpVXhCo,75
Wynwood Cafe,https://restaurant-ai-bot-two.vercel.app/demo/ZJaV1FTYOBdo,Miami,cafe,,ZJaV1FTYOBdo,31
Xian Sushi and Noodle - Mueller,https://restaurant-ai-bot-two.vercel.app/demo/d-SDqIrxr49O,,,,d-SDqIrxr49O,14
Yale Street Grill,https://restaurant-ai-bot-two.vercel.app/demo/wa2LGwK--aBb,Houston,restaurant,,wa2LGwK--aBb,2
Zapvor by Thai Spice,https://restaurant-ai-bot-two.vercel.app/demo/1oUxyV9qBoYB,Houston,restaurant,,1oUxyV9qBoYB,67
